
"dt","job_id","company_id","impression_1d","view_1d","apply_1d","hire_1d","uniq_user_1d"
"2025-12-17",423,144,68,72,69,37,246
"2025-11-23",1298,436,65,55,59,27,206
"2025-11-27",1341,450,51,42,38,18,149
"2025-12-06",1067,353,83,84,90,23,280
"2025-11-27",589,194,64,62,50,45,221
"2025-11-26",156,58,47,45,32,35,158
"2025-11-25",1038,346,16,10,9,11,46
"2025-11-30",383,133,88,91,96,25,300
"2025-12-06",1372,462,78,89,90,11,268
"2025-11-28",42,16,22,24,40,4,90
"2025-12-01",1055,350,43,41,31,7,122
"2025-11-27",415,142,41,48,44,7,140
"2025-12-08",346,121,84,86,78,47,295
"2025-12-16",637,210,8,11,4,4,27
"2025-11-30",1116,371,18,11,13,12,54
"2025-12-14",796,264,5,4,3,1,13
"2025-12-19",1307,439,39,38,39,4,120
"2025-12-01",29,11,44,52,53,22,171
"2025-12-22",1185,399,25,28,40,8,101
"2025-12-15",1427,480,85,90,88,21,284
"2025-12-20",91,34,94,96,95,29,314
"2025-11-30",1278,428,70,70,67,41,248
"2025-12-05",1480,499,46,40,49,4,139
"2025-12-07",406,140,38,27,32,7,104
"2025-12-01",96,36,35,43,34,20,132
"2025-12-09",1325,447,65,65,71,27,228
"2025-12-16",504,168,4,5,7,4,20
"2025-12-20",1452,490,43,45,50,14,152
"2025-12-11",923,308,56,52,59,22,189
"2025-11-29",1321,445,99,98,94,56,347
"2025-11-27",266,95,59,53,58,21,191
"2025-12-16",119,45,23,20,20,2,65
"2025-12-20",1218,409,30,29,37,14,110
"2025-12-20",1045,347,82,79,82,56,299
"2025-12-19",454,152,46,40,43,35,164
"2025-11-28",606,198,94,87,90,41,312
"2025-12-05",1138,380,96,94,93,21,304
"2025-11-28",946,314,40,36,39,15,130
"2025-11-24",1243,416,60,66,64,19,209
"2025-12-11",1104,368,17,20,19,13,69
"2025-12-18",633,209,26,25,23,5,79
"2025-12-10",650,213,6,5,3,0,14
"2025-12-01",919,307,26,25,34,12,97
"2025-11-29",686,226,6,3,3,0,12
"2025-11-29",771,254,89,91,91,10,281
"2025-11-26",494,166,39,29,36,3,107
"2025-11-27",1293,435,23,22,23,5,73
"2025-11-24",1346,452,78,84,81,26,269
"2025-12-04",843,280,26,25,33,3,87
"2025-12-03",1274,427,21,14,20,5,60
"2025-11-29",1408,476,47,58,60,25,190
"2025-12-12",1018,339,49,56,53,14,171
"2025-12-15",591,195,76,72,63,35,246
"2025-12-14",158,59,7,7,4,3,21
"2025-12-17",276,98,49,37,43,7,136
"2025-12-07",1397,468,16,28,19,5,68
"2025-11-23",1346,452,22,16,19,11,68
"2025-12-07",1230,411,71,74,60,27,232
"2025-12-11",690,227,32,33,30,4,99
"2025-11-27",1403,473,88,85,89,17,279
"2025-12-20",239,85,10,10,15,2,37
"2025-12-09",1003,333,43,43,53,27,166
"2025-12-01",823,275,58,56,58,21,193
"2025-12-22",1180,398,15,6,16,8,45
"2025-12-15",554,184,43,36,41,18,138
"2025-12-20",557,185,36,30,33,11,110
"2025-12-03",1102,366,76,73,69,12,230
"2025-11-26",760,251,22,25,24,18,89
"2025-12-02",257,93,70,73,73,19,235
"2025-11-29",959,318,86,91,87,23,287
"2025-12-21",577,190,44,40,51,10,145
"2025-11-30",330,116,72,64,61,23,220
"2025-12-18",218,78,71,79,76,18,244
"2025-12-09",142,54,43,44,49,10,146
"2025-11-26",1451,490,90,87,94,46,317
"2025-12-23",459,153,49,44,50,12,155
"2025-12-02",86,31,78,70,68,30,246
"2025-11-26",1042,347,23,25,21,10,79
"2025-12-08",1386,466,100,100,100,55,355
"2025-12-16",137,51,53,61,55,6,175
"2025-12-01",263,94,58,62,70,20,210
"2025-11-25",732,240,22,22,26,11,81
"2025-12-09",1381,465,97,94,95,37,323
"2025-12-09",1416,478,93,92,79,52,316
"2025-11-30",205,75,4,4,4,3,15
"2025-12-04",319,112,30,36,26,15,107
"2025-12-23",631,208,43,35,34,26,138
"2025-12-20",154,58,83,75,81,65,304
"2025-12-02",405,140,7,7,10,5,29
"2025-12-21",1444,487,43,30,40,24,137
"2025-12-18",1476,498,77,68,77,20,242
"2025-11-30",265,95,43,44,50,10,147
"2025-12-23",667,221,11,10,11,2,34
"2025-12-20",435,147,20,16,28,11,75
"2025-12-17",295,103,96,98,97,52,343
"2025-12-08",598,196,94,92,92,16,294
"2025-12-16",210,76,100,100,100,37,337
"2025-12-20",1453,491,53,56,45,5,159
"2025-12-07",1333,449,37,23,31,8,99
"2025-11-26",1330,448,38,31,32,31,132
"2025-12-03",819,274,100,100,100,13,313
"2025-12-05",450,151,57,46,52,6,161
"2025-12-04",773,254,22,19,28,1,70
"2025-12-07",375,131,23,24,22,6,75
"2025-12-02",901,300,78,83,78,27,266
"2025-11-30",317,111,70,57,68,20,215
"2025-12-08",361,125,100,100,100,21,321
"2025-12-18",1481,499,55,56,54,7,172
"2025-12-20",311,110,56,47,49,20,172
"2025-11-24",277,98,44,34,33,9,120
"2025-12-02",321,112,23,16,19,12,70
"2025-11-26",1097,364,45,43,45,18,151
"2025-12-03",857,284,50,57,60,24,191
"2025-12-18",979,324,38,43,39,22,142
"2025-12-04",1208,406,10,15,13,9,47
"2025-12-21",513,171,45,46,39,7,137
"2025-12-09",1234,413,26,31,28,9,94
"2025-11-25",526,177,96,96,99,30,321
"2025-11-29",118,45,45,38,44,8,135
"2025-12-07",1089,360,96,96,94,28,313
"2025-11-28",1087,359,47,41,48,25,161
"2025-12-03",929,310,43,52,62,27,184
"2025-12-12",296,103,54,56,48,26,184
"2025-12-03",1219,409,73,73,80,23,249
"2025-11-25",399,138,62,58,61,33,214
"2025-11-28",657,217,89,93,87,35,304
"2025-11-25",460,154,61,68,73,23,225
"2025-12-11",761,251,100,100,100,50,350
"2025-12-02",1269,424,53,48,62,31,194
"2025-12-14",1439,485,100,100,100,24,324
"2025-11-25",209,75,78,70,70,31,249
"2025-12-22",663,219,60,60,72,8,200
"2025-12-01",1186,400,100,100,100,19,319
"2025-11-24",880,292,39,42,34,10,125
"2025-12-10",864,286,91,77,81,17,266
"2025-12-10",380,133,55,56,48,16,175
"2025-12-06",868,288,49,36,41,5,131
"2025-12-12",1409,476,63,59,63,20,205
"2025-11-23",277,98,56,66,67,13,202
"2025-12-13",837,279,61,70,67,15,213
"2025-12-22",1024,340,32,20,27,11,90
"2025-12-20",104,39,100,100,100,33,333
"2025-11-28",66,24,53,56,61,16,186
"2025-12-03",487,163,37,40,42,10,129
"2025-11-27",493,166,4,4,8,3,19
"2025-12-07",699,231,44,48,56,25,173
"2025-12-15",1010,335,48,58,45,12,163
"2025-12-04",620,203,6,6,8,1,21
"2025-12-07",258,93,89,83,81,39,292
"2025-12-10",62,24,100,100,100,50,350
"2025-12-06",1066,353,34,35,34,11,114
"2025-12-14",53,21,45,37,34,23,139
"2025-12-02",36,14,16,11,11,5,43
"2025-12-14",1470,496,27,30,32,13,102
"2025-12-21",805,269,85,69,76,50,280
"2025-11-26",436,147,95,93,95,34,317
"2025-11-25",1039,346,87,80,85,63,315
"2025-12-08",730,240,72,67,73,42,253
"2025-12-16",136,50,40,56,47,38,181
"2025-11-28",301,105,85,87,83,30,285
"2025-12-16",636,210,66,57,60,39,222
"2025-12-08",347,121,42,43,51,21,157
"2025-12-08",681,224,94,90,94,22,300
"2025-12-09",954,317,75,83,82,37,277
"2025-11-30",922,308,38,49,43,20,150
"2025-12-05",284,100,59,61,45,8,173
"2025-12-01",56,21,30,27,28,15,100
"2025-12-01",1198,403,98,96,97,55,346
"2025-12-19",47,18,62,63,65,7,197
"2025-12-07",1061,352,49,39,49,12,149
"2025-12-04",1458,493,50,44,55,4,153
"2025-12-14",797,264,42,31,26,24,123
"2025-12-10",850,283,48,45,55,17,165
"2025-12-14",1093,362,30,38,33,12,113
"2025-11-25",614,202,88,93,96,11,288
"2025-12-11",1095,363,29,29,25,11,94
"2025-12-13",685,226,34,30,28,5,97
"2025-12-06",308,109,20,24,17,8,69
"2025-12-22",509,170,64,60,71,24,219
"2025-12-12",365,128,22,23,28,12,85
"2025-12-19",1350,453,91,92,90,13,286
"2025-11-29",715,235,74,84,72,39,269
"2025-12-11",1070,355,63,68,63,31,225
"2025-12-06",16,7,87,86,78,11,262
"2025-12-04",719,236,43,42,45,12,142
"2025-11-30",700,231,90,81,87,43,301
"2025-12-10",466,155,65,69,61,19,214
"2025-12-13",1239,416,88,88,87,29,292
"2025-12-10",758,250,5,7,7,2,21
"2025-12-15",464,154,10,9,9,1,29
"2025-11-26",1440,485,65,65,60,10,200
"2025-12-04",511,170,56,46,49,26,177
"2025-12-01",543,180,95,94,88,39,316
"2025-12-05",601,197,68,64,66,19,217
"2025-11-26",403,139,37,56,48,5,146
"2025-11-30",1220,409,18,20,10,5,53
"2025-11-30",1450,490,5,12,9,2,28
"2025-12-03",468,156,52,40,47,17,156
"2025-12-01",970,321,40,43,43,27,153
"2025-12-12",302,106,40,37,42,15,134
"2025-11-26",756,250,29,32,36,7,104
"2025-11-29",993,330,57,42,47,17,163
"2025-12-07",1125,374,16,22,18,8,64
"2025-11-28",462,154,5,2,2,4,13
"2025-12-11",1426,480,35,30,35,11,111
"2025-12-17",77,29,98,92,98,19,307
"2025-11-26",1224,410,100,100,100,44,344
"2025-12-20",1264,423,32,26,32,5,95
"2025-12-18",717,236,17,4,11,7,39
"2025-11-26",581,191,33,43,33,12,121
"2025-12-08",1383,465,30,35,32,13,110
"2025-12-20",323,113,42,35,39,14,130
"2025-12-13",671,222,47,53,42,16,158
"2025-12-15",231,83,40,35,37,24,136
"2025-12-11",725,238,53,47,59,11,170
"2025-12-14",1054,350,79,78,72,18,247
"2025-12-12",733,241,91,87,87,44,309
"2025-12-10",1068,354,29,29,35,8,101
"2025-12-09",596,196,34,34,40,10,118
"2025-12-22",573,189,48,38,40,24,150
"2025-12-01",1223,410,17,12,13,1,43
"2025-12-02",809,270,39,38,34,6,117
"2025-11-26",863,286,76,88,84,26,274
"2025-12-20",626,207,64,60,57,26,207
"2025-12-01",1292,435,25,20,29,6,80
"2025-12-02",222,81,82,81,77,40,280
"2025-11-25",687,226,29,25,28,8,90
"2025-11-25",64,24,29,38,33,26,126
"2025-11-29",132,49,70,61,59,14,204
"2025-12-09",1249,418,91,88,89,31,299
"2025-12-20",1110,369,89,96,91,49,325
"2025-11-28",709,233,30,39,31,12,112
"2025-12-23",781,257,91,91,93,10,285
"2025-12-02",89,32,27,19,33,5,84
"2025-12-14",307,109,33,34,25,17,109
"2025-11-28",1037,346,59,63,58,44,224
"2025-11-27",148,55,5,4,7,0,16
"2025-12-07",38,14,77,86,80,20,263
"2025-12-20",193,71,66,68,60,7,201
"2025-12-22",621,204,43,42,53,16,154
"2025-11-30",481,161,64,72,72,40,247
"2025-12-08",842,280,35,32,28,3,98
"2025-11-26",63,24,16,16,16,5,53
"2025-12-03",1161,390,100,100,100,55,355
"2025-12-06",1230,411,29,26,40,11,106
"2025-12-17",498,167,55,46,55,14,170
"2025-11-29",990,328,45,38,39,13,135
"2025-12-15",688,226,67,75,81,30,253
"2025-12-06",1163,391,64,59,75,35,233
"2025-12-16",276,98,51,63,57,19,190
"2025-12-07",538,179,11,6,6,3,26
"2025-12-09",780,256,95,97,96,38,326
"2025-11-30",823,275,42,44,42,21,149
"2025-12-23",1180,398,85,94,84,18,281
"2025-12-08",1003,333,57,57,47,32,193
"2025-12-07",194,71,79,90,91,18,278
"2025-12-02",1360,457,88,92,82,42,304
"2025-12-20",577,190,56,60,49,23,188
"2025-12-01",330,116,28,36,39,22,125
"2025-12-19",218,78,29,21,24,5,79
"2025-12-06",698,230,20,11,18,10,59
"2025-12-03",257,93,30,27,27,7,91
"2025-12-08",949,315,34,38,25,16,113
"2025-12-01",917,306,32,24,31,12,99
"2025-11-28",567,187,58,59,57,32,206
"2025-12-17",137,51,47,39,45,5,136
"2025-11-30",263,94,42,38,30,7,117
"2025-12-07",559,185,91,91,84,27,293
"2025-11-24",732,240,78,78,74,31,261
"2025-12-14",329,115,64,71,59,40,234
"2025-11-27",1042,347,77,75,79,43,274
"2025-12-06",84,30,100,100,100,46,346
"2025-12-06",90,33,38,34,39,7,118
"2025-12-06",723,238,17,20,11,2,50
"2025-11-26",400,138,84,75,79,31,269
"2025-12-22",459,153,51,56,50,15,172
"2025-12-03",86,31,22,30,32,10,94
"2025-12-01",413,142,14,20,15,4,53
"2025-12-19",1352,453,90,88,86,16,280
"2025-12-14",849,282,36,32,37,13,118
"2025-12-08",1325,447,35,35,29,14,113
"2025-12-17",504,168,96,95,93,48,332
"2025-11-28",392,135,39,35,42,3,119
"2025-12-02",310,110,47,41,37,10,135
"2025-12-04",1480,499,54,60,51,8,173
"2025-12-07",830,277,55,58,66,32,211
"2025-12-18",1307,439,61,62,61,3,187
"2025-11-30",29,11,56,48,47,21,172
"2025-12-03",869,289,72,75,71,12,230
"2025-12-14",935,311,20,20,20,8,68
"2025-12-21",1218,409,70,71,63,26,230
"2025-12-18",287,101,100,100,100,28,328
"2025-12-19",363,126,24,22,35,17,98
"2025-12-13",751,247,93,92,93,12,290
"2025-12-18",454,152,54,60,57,24,195
"2025-12-21",1045,347,18,21,18,14,71
"2025-12-15",1098,365,39,48,40,16,143
"2025-11-26",266,95,41,47,42,15,145
"2025-11-28",1321,445,1,2,6,3,12
"2025-12-20",107,39,93,82,85,24,283
"2025-12-21",1452,490,57,55,50,27,189
"2025-12-20",237,84,85,91,86,56,318
"2025-12-10",923,308,44,48,41,23,156
"2025-12-13",838,279,14,14,19,2,49
"2025-12-16",749,246,16,28,23,1,68
"2025-11-29",981,325,13,8,8,2,31
"2025-11-27",494,166,61,71,64,16,212
"2025-11-25",76,28,13,17,15,9,54
"2025-12-07",1193,401,89,85,91,34,299
"2025-11-26",1293,435,77,78,77,12,244
"2025-11-28",771,254,11,9,9,2,31
"2025-11-30",919,307,74,75,66,22,237
"2025-11-25",1243,416,40,34,36,16,126
"2025-12-11",650,213,94,95,97,31,317
"2025-12-04",1138,380,4,6,7,4,21
"2025-12-12",1422,479,17,12,11,3,43
"2025-12-13",1018,339,51,44,47,7,149
"2025-12-06",938,312,75,73,80,33,261
"2025-12-11",52,20,48,52,47,13,160
"2025-12-09",574,189,86,80,84,51,301
"2025-12-01",824,275,94,94,89,45,322
"2025-12-13",186,68,46,40,40,11,137
"2025-12-12",496,167,50,48,58,14,170
"2025-12-18",141,53,2,9,14,3,28
"2025-12-16",67,25,57,63,63,9,192
"2025-12-13",303,107,85,88,90,70,333
"2025-12-21",322,112,50,46,45,22,163
"2025-12-01",1129,377,25,16,28,6,75
"2025-11-29",281,99,40,39,45,24,148
"2025-12-17",987,327,40,42,31,16,129
"2025-12-10",862,286,14,22,15,6,57
"2025-12-07",582,192,56,60,57,16,189
"2025-12-20",432,146,85,78,81,33,277
"2025-12-15",933,311,81,80,73,41,275
"2025-12-06",806,269,54,55,48,31,188
"2025-12-06",818,274,100,100,100,13,313
"2025-11-25",881,292,75,70,75,19,239
"2025-12-16",300,104,99,97,93,30,319
"2025-12-01",230,83,80,79,83,44,286
"2025-12-07",535,179,46,41,36,6,129
"2025-12-07",1067,353,17,16,10,2,45
"2025-12-14",920,307,73,72,75,37,257
"2025-11-26",589,194,36,38,50,24,148
"2025-12-21",1060,352,60,71,73,20,224
"2025-11-26",1341,450,49,58,62,25,194
"2025-11-28",659,218,63,56,60,23,202
"2025-12-19",12,5,57,51,51,39,198
"2025-12-08",1263,422,26,29,25,10,90
"2025-12-16",423,144,32,28,31,17,108
"2025-12-08",128,48,57,49,55,26,187
"2025-11-25",565,187,89,91,95,47,322
"2025-11-25",1031,342,100,100,100,10,310
"2025-12-01",1094,363,77,73,68,43,261
"2025-12-22",245,88,62,60,61,20,203
"2025-12-02",488,164,62,54,58,18,192
"2025-12-09",346,121,16,14,22,7,59
"2025-12-17",637,210,92,89,96,35,312
"2025-12-01",1116,371,82,89,87,43,301
"2025-12-04",1211,407,16,31,22,17,86
"2025-12-07",1372,462,22,11,10,4,47
"2025-11-29",42,16,78,76,60,16,230
"2025-11-30",1055,350,57,59,69,14,199
"2025-12-09",212,76,20,31,20,11,82
"2025-11-27",83,30,89,85,84,34,292
"2025-12-02",695,230,66,67,59,31,223
"2025-12-11",547,181,8,18,12,3,41
"2025-12-02",964,319,39,47,42,19,147
"2025-12-15",1442,486,39,23,34,12,108
"2025-12-16",1012,336,82,68,82,30,262
"2025-11-27",98,36,12,7,8,8,35
"2025-12-03",703,232,40,39,50,19,148
"2025-12-11",441,148,11,7,10,4,32
"2025-12-20",372,131,76,74,70,9,229
"2025-11-25",503,168,71,63,68,44,246
"2025-11-30",1009,335,60,68,62,22,212
"2025-12-18",189,69,68,72,68,9,216
"2025-12-03",905,301,22,22,22,6,72
"2025-12-10",941,313,92,88,89,23,292
"2025-12-04",451,151,87,84,92,12,275
"2025-12-14",1053,350,70,65,58,17,210
"2025-12-19",241,85,88,88,92,6,274
"2025-12-01",54,21,17,23,30,9,79
"2025-12-20",1167,394,35,22,39,17,113
"2025-12-03",1404,473,18,22,15,4,59
"2025-12-19",600,197,12,11,10,5,38
"2025-12-05",343,120,32,40,33,25,130
"2025-12-16",134,50,40,40,43,33,156
"2025-12-07",1049,349,44,49,47,28,168
"2025-12-01",545,181,72,78,76,23,249
"2025-11-29",397,137,28,23,36,6,93
"2025-12-09",130,49,59,60,45,12,176
"2025-11-30",1058,351,48,52,36,6,142
"2025-12-02",259,93,65,73,63,24,225
"2025-12-11",1471,496,91,87,89,62,329
"2025-12-07",858,285,63,55,61,37,216
"2025-11-24",1473,497,69,57,64,11,201
"2025-11-27",519,174,91,89,91,61,332
"2025-12-21",755,249,80,77,78,25,260
"2025-11-27",368,128,73,81,82,23,259
"2025-11-25",1391,467,85,87,89,41,302
"2025-11-30",30,12,38,35,43,24,140
"2025-11-25",569,187,79,85,84,50,298
"2025-12-14",231,83,60,65,63,24,212
"2025-12-13",349,122,19,16,18,10,63
"2025-11-27",581,191,67,57,67,17,208
"2025-12-09",1383,465,70,65,68,31,234
"2025-12-20",697,230,90,94,92,36,312
"2025-12-06",1125,374,84,78,82,44,288
"2025-12-12",607,199,95,92,92,15,293
"2025-12-13",425,145,78,69,79,56,282
"2025-11-29",462,154,95,98,98,42,333
"2025-12-18",1357,456,14,21,31,11,77
"2025-12-15",689,226,91,88,81,31,291
"2025-11-27",756,250,71,68,64,31,234
"2025-12-08",596,196,66,66,60,18,210
"2025-12-11",1365,458,14,23,19,1,57
"2025-12-12",748,246,71,70,71,17,229
"2025-12-03",109,40,56,44,50,19,169
"2025-12-23",573,189,52,62,60,37,211
"2025-12-11",1068,354,71,71,65,16,223
"2025-12-19",1282,430,61,52,57,21,191
"2025-12-13",733,241,9,13,13,1,36
"2025-12-21",145,54,6,7,12,1,26
"2025-12-21",1110,369,11,4,9,3,27
"2025-11-29",709,233,70,61,69,29,229
"2025-12-12",995,330,90,96,89,20,295
"2025-11-24",687,226,71,75,72,28,246
"2025-12-11",232,83,15,20,14,7,56
"2025-11-24",64,24,71,62,67,40,240
"2025-12-08",1249,418,9,12,11,4,36
"2025-11-30",1223,410,83,88,87,41,299
"2025-11-30",1292,435,75,80,71,9,235
"2025-11-25",396,136,12,12,12,2,38
"2025-12-21",626,207,36,40,43,24,143
"2025-12-12",1017,338,24,33,30,6,93
"2025-12-09",842,280,65,68,72,9,214
"2025-12-07",170,63,18,16,15,9,58
"2025-11-29",1037,346,41,37,42,23,143
"2025-12-03",89,32,73,81,67,25,246
"2025-11-28",293,102,75,81,74,17,247
"2025-12-20",201,73,15,18,19,7,59
"2025-12-22",781,257,9,9,7,0,25
"2025-11-24",614,202,12,7,4,2,25
"2025-12-18",1281,429,30,34,32,3,99
"2025-12-19",563,186,26,23,24,6,79
"2025-12-10",1095,363,71,71,75,46,263
"2025-12-12",685,226,66,70,72,32,240
"2025-12-21",643,212,43,38,43,23,147
"2025-11-26",1226,411,58,65,58,27,208
"2025-12-05",1458,493,50,56,45,4,155
"2025-12-01",94,36,100,100,100,57,356
"2025-12-10",1070,355,37,32,37,10,116
"2025-12-13",668,221,58,58,56,22,194
"2025-12-07",308,109,80,76,83,49,288
"2025-12-11",727,239,100,100,100,43,343
"2025-12-10",541,180,83,72,83,29,267
"2025-12-14",464,154,90,91,91,35,307
"2025-12-22",1483,499,49,49,14,0,112
"2025-12-15",28,10,37,32,37,6,112
"2025-12-11",758,250,95,93,93,36,317
"2025-12-08",706,232,49,49,57,16,171
"2025-12-18",776,255,39,49,46,17,151
"2025-12-04",948,315,65,74,74,34,247
"2025-12-01",417,143,12,5,13,0,30
"2025-12-10",1105,368,23,27,22,8,80
"2025-12-05",719,236,57,58,55,15,185
"2025-12-07",312,110,68,73,68,33,242
"2025-12-01",700,231,10,19,13,10,52
"2025-12-02",468,156,48,60,53,23,184
"2025-11-30",970,321,60,57,57,32,206
"2025-12-21",807,269,15,9,10,9,43
"2025-11-25",1411,477,67,67,71,42,247
"2025-12-01",1450,490,95,88,91,27,301
"2025-11-30",543,180,5,6,12,2,25
"2025-12-01",1220,409,82,80,90,38,289
"2025-12-22",1079,358,56,47,44,35,182
"2025-12-08",677,223,7,2,6,4,19
"2025-12-18",716,235,52,50,60,22,184
"2025-12-02",1275,427,2,3,4,0,9
"2025-12-06",584,193,58,60,61,18,197
"2025-12-05",511,170,44,54,51,26,175
"2025-11-25",1213,407,4,4,8,3,19
"2025-12-22",1033,344,56,58,68,36,218
"2025-11-29",1378,464,69,74,77,37,257
"2025-12-19",1245,417,28,15,21,12,76
"2025-11-29",502,168,94,95,90,50,329
"2025-12-15",646,213,66,77,71,23,237
"2025-12-09",125,47,90,91,89,35,305
"2025-11-23",1029,341,9,11,4,0,24
"2025-12-06",578,191,28,31,24,12,95
"2025-12-23",1024,340,68,80,73,21,242
"2025-12-12",135,50,82,76,79,63,300
"2025-12-11",864,286,9,23,19,4,55
"2025-12-05",623,205,10,6,8,4,28
"2025-12-04",1314,441,50,41,47,2,140
"2025-11-25",880,292,61,58,66,19,204
"2025-12-05",620,203,94,94,92,22,301
"2025-12-06",258,93,11,17,19,7,54
"2025-12-14",1128,376,58,61,68,8,195
"2025-12-14",1010,335,52,42,55,7,156
"2025-12-08",1359,457,86,78,82,34,280
"2025-11-26",493,166,96,96,92,18,302
"2025-12-06",699,231,56,52,44,31,183
"2025-11-29",66,24,47,44,39,23,153
"2025-12-02",487,163,63,60,58,31,212
"2025-12-01",922,308,62,51,57,18,188
"2025-12-04",284,100,41,39,55,8,143
"2025-12-08",954,317,25,17,18,13,73
"2025-11-30",1198,403,2,4,3,4,13
"2025-12-02",1375,463,36,38,42,19,135
"2025-12-02",1114,370,90,85,89,63,327
"2025-12-09",347,121,58,57,49,31,195
"2025-12-09",730,240,28,33,27,15,103
"2025-12-04",1348,452,88,85,85,37,295
"2025-12-04",384,133,47,41,46,17,151
"2025-11-24",1039,346,13,20,15,11,59
"2025-12-15",1470,496,73,70,68,44,255
"2025-11-27",934,311,36,27,24,6,93
"2025-12-20",805,269,15,31,24,15,85
"2025-12-11",1424,480,34,41,36,10,121
"2025-12-19",1476,498,23,32,23,3,81
"2025-12-03",405,140,93,93,90,33,308
"2025-12-20",1444,487,57,70,60,33,220
"2025-12-05",1326,447,73,66,70,31,240
"2025-12-21",1050,349,89,85,87,38,299
"2025-12-06",537,179,62,64,62,13,201
"2025-12-01",1395,468,81,84,81,33,279
"2025-12-22",631,208,57,65,66,32,220
"2025-12-20",226,82,61,67,48,7,183
"2025-12-22",1251,419,35,32,35,22,124
"2025-12-08",892,296,90,92,93,41,316
"2025-12-06",1134,378,46,55,54,25,180
"2025-12-04",450,151,43,54,48,7,152
"2025-12-16",1474,497,23,29,23,3,78
"2025-11-29",840,279,6,4,3,1,14
"2025-12-20",1362,458,58,54,60,8,180
"2025-12-19",747,246,72,71,65,14,222
"2025-11-27",1330,448,62,69,68,35,234
"2025-12-09",977,324,88,80,94,43,305
"2025-12-18",213,77,71,70,71,37,249
"2025-12-21",722,238,10,4,4,0,18
"2025-12-16",295,103,4,2,3,1,10
"2025-12-01",265,95,57,56,50,22,185
"2025-12-06",900,299,78,91,87,14,269
"2025-12-22",667,221,89,90,89,43,311
"2025-12-20",1373,463,95,97,96,54,341
"2025-11-27",590,195,98,96,97,51,342
"2025-12-15",97,36,29,27,24,11,91
"2025-12-14",1279,428,56,58,66,48,228
"2025-12-19",1481,499,45,44,46,4,139
"2025-12-21",311,110,44,53,51,14,162
"2025-12-18",894,296,56,53,55,26,190
"2025-12-01",317,111,30,43,32,2,107
"2025-12-05",773,254,78,81,72,5,236
"2025-12-11",207,75,75,76,68,25,244
"2025-12-06",375,131,77,76,78,13,244
