job_id,company_id,job_type,job_level,job_function,city,salary_min_k,salary_max_k,target_top10,online_days,urgency,hot_function,industry,company_size,funding_stage,brand_level,salary_level,intl_flag,top10_talent_ratio,avg_apply_cnt,hire_rate,overall_rating,work_life_balance_score,salary_competitiveness,resume_response_rate,resume_response_time,offer_conversion_rate,talent_care_index,enterprise_tier,impression_cnt,view_cnt,apply_cnt,hire_cnt,price_label,salary_avg_k
11,4,全职,高级,后端开发,广州,24,37,0,35,3,1,咨询,1000,上市公司,5,2,0,0.233,271,0.131,3.04,3.76,3.99,0.695,1.17,0.237,0.466,T1,766,724,197,23,358.68,30.5
12,5,全职,初级,算法工程师,杭州,32,44,0,40,2,1,咨询,100,B轮,4,3,1,0.451,55,0.285,4.65,2.79,3.97,0.698,4.3,0.26,0.509,T1,841,799,245,71,399.0,38.0
13,6,全职,中级,后端开发,杭州,11,23,0,33,2,1,金融,100,上市公司,3,2,0,0.051,142,0.279,3.73,2.92,2.67,0.829,3.68,0.482,0.462,T2,735,696,190,54,250.0,17.0
14,6,全职,初级,算法工程师,北京,12,19,0,47,1,1,金融,100,上市公司,3,2,0,0.051,142,0.279,3.73,2.92,2.67,0.829,3.68,0.482,0.462,T2,767,726,197,61,250.0,15.5
15,7,全职,高级,数据分析,新加坡,31,38,0,48,1,1,制造业,3000,A轮,3,5,1,0.068,57,0.053,3.71,3.38,4.58,0.608,3.91,0.501,0.551,T2,839,810,215,10,251.57,34.5
16,7,全职,中级,前端开发,杭州,11,18,1,48,2,0,制造业,3000,A轮,3,5,1,0.068,57,0.053,3.71,3.38,4.58,0.608,3.91,0.501,0.551,T2,815,766,222,13,253.66,14.5
17,7,全职,高级,后端开发,上海,8,18,1,30,1,1,制造业,3000,A轮,3,5,1,0.068,57,0.053,3.71,3.38,4.58,0.608,3.91,0.501,0.551,T2,762,708,204,13,250.0,13.0
18,7,全职,初级,产品经理,上海,17,24,0,49,3,0,制造业,3000,A轮,3,5,1,0.068,57,0.053,3.71,3.38,4.58,0.608,3.91,0.501,0.551,T2,786,748,207,11,250.0,20.5
19,7,全职,高级,运营,新加坡,31,36,1,44,3,0,制造业,3000,A轮,3,5,1,0.068,57,0.053,3.71,3.38,4.58,0.608,3.91,0.501,0.551,T2,833,792,262,15,264.44,33.5
20,8,全职,中级,数据分析,上海,14,19,0,8,2,1,制造业,1000,上市公司,1,2,1,0.322,221,0.163,3.6,4.4,2.94,0.287,4.84,0.293,0.354,T3,701,596,145,20,294.46,16.5
21,9,全职,高级,数据分析,新加坡,13,25,0,7,3,1,制造业,500,上市公司,5,4,0,0.458,286,0.294,4.95,3.77,4.31,0.285,2.24,0.309,0.566,T1,771,736,229,68,417.92,19.0
22,9,全职,初级,数据分析,新加坡,27,36,0,18,2,1,制造业,500,上市公司,5,4,0,0.458,286,0.294,4.95,3.77,4.31,0.285,2.24,0.309,0.566,T1,774,734,222,61,415.69,31.5
23,9,全职,中级,前端开发,广州,8,13,0,30,3,0,制造业,500,上市公司,5,4,0,0.458,286,0.294,4.95,3.77,4.31,0.285,2.24,0.309,0.566,T1,722,685,207,62,410.68,10.5
24,10,全职,中级,产品经理,广州,33,35,0,57,3,0,咨询,100,上市公司,1,1,0,0.157,284,0.076,3.34,4.09,4.43,0.705,6.42,0.122,0.437,T3,677,610,154,10,255.88,34.0
25,10,全职,初级,后端开发,上海,12,19,0,34,1,1,咨询,100,上市公司,1,1,0,0.157,284,0.076,3.34,4.09,4.43,0.705,6.42,0.122,0.437,T3,561,447,112,6,237.23,15.5
26,10,全职,高级,后端开发,深圳,27,38,0,53,2,1,咨询,100,上市公司,1,1,0,0.157,284,0.076,3.34,4.09,4.43,0.705,6.42,0.122,0.437,T3,676,590,137,16,249.03,32.5
27,10,全职,中级,运营,深圳,39,41,0,48,2,0,咨询,100,上市公司,1,1,0,0.157,284,0.076,3.34,4.09,4.43,0.705,6.42,0.122,0.437,T3,350,147,19,1,225.0,40.0
28,10,全职,中级,算法工程师,杭州,31,43,0,40,2,1,咨询,100,上市公司,1,1,0,0.157,284,0.076,3.34,4.09,4.43,0.705,6.42,0.122,0.437,T3,756,702,197,19,270.32,37.0
29,11,全职,初级,算法工程师,深圳,27,32,0,51,1,1,教育,500,未融资,2,1,0,0.261,157,0.187,4.8,4.96,4.29,0.329,3.33,0.245,0.622,T2,758,722,227,43,325.57,29.5
30,12,全职,中级,运营,深圳,19,27,0,25,2,0,制造业,100,A轮,1,5,0,0.253,210,0.295,4.55,4.42,3.95,0.43,1.34,0.326,0.617,T3,723,687,211,58,302.32,23.0
31,13,全职,高级,算法工程师,深圳,12,19,0,23,2,1,零售,100,A轮,1,4,1,0.263,258,0.189,3.15,3.59,2.54,0.541,5.32,0.158,0.244,T3,773,727,204,40,302.62,15.5
32,13,全职,中级,运营,新加坡,15,17,1,53,2,0,零售,100,A轮,1,4,1,0.263,258,0.189,3.15,3.59,2.54,0.541,5.32,0.158,0.244,T3,799,759,216,40,305.97,16.0
33,13,全职,初级,后端开发,杭州,17,23,0,31,1,1,零售,100,A轮,1,4,1,0.263,258,0.189,3.15,3.59,2.54,0.541,5.32,0.158,0.244,T3,758,722,208,29,303.75,20.0
34,13,全职,初级,数据分析,上海,34,36,1,15,3,1,零售,100,A轮,1,4,1,0.263,258,0.189,3.15,3.59,2.54,0.541,5.32,0.158,0.244,T3,821,783,250,47,314.54,35.0
35,13,全职,高级,算法工程师,北京,36,47,1,53,3,1,零售,100,A轮,1,4,1,0.263,258,0.189,3.15,3.59,2.54,0.541,5.32,0.158,0.244,T3,797,751,224,51,308.1,41.5
36,14,全职,初级,算法工程师,广州,16,26,0,29,1,1,咨询,200,C轮及以上,4,3,0,0.33,289,0.097,4.97,3.62,3.4,0.217,4.68,0.327,0.449,T1,712,675,210,25,370.56,21.0
37,14,全职,初级,后端开发,上海,13,23,0,55,1,1,咨询,200,C轮及以上,4,3,0,0.33,289,0.097,4.97,3.62,3.4,0.217,4.68,0.327,0.449,T1,783,746,241,19,379.98,18.0
38,14,全职,中级,后端开发,北京,12,26,0,42,1,1,咨询,200,C轮及以上,4,3,0,0.33,289,0.097,4.97,3.62,3.4,0.217,4.68,0.327,0.449,T1,744,704,205,22,368.91,19.0
39,15,全职,初级,前端开发,广州,35,42,1,57,2,0,金融,100,B轮,3,4,1,0.261,124,0.196,3.54,4.05,4.01,0.374,2.55,0.527,0.515,T2,844,803,241,47,346.6,38.5
40,15,全职,初级,数据分析,上海,36,47,0,7,3,1,金融,100,B轮,3,4,1,0.261,124,0.196,3.54,4.05,4.01,0.374,2.55,0.527,0.515,T2,838,804,243,41,347.14,41.5
41,16,全职,高级,算法工程师,新加坡,11,16,1,47,2,1,教育,50,上市公司,5,1,0,0.251,126,0.101,3.2,4.16,3.47,0.486,4.54,0.391,0.418,T1,730,697,205,19,366.87,13.5
42,16,全职,中级,前端开发,上海,23,31,1,26,1,0,教育,50,上市公司,5,1,0,0.251,126,0.101,3.2,4.16,3.47,0.486,4.54,0.391,0.418,T1,727,693,223,20,372.9,27.0
43,16,全职,初级,产品经理,杭州,12,20,0,49,1,0,教育,50,上市公司,5,1,0,0.251,126,0.101,3.2,4.16,3.47,0.486,4.54,0.391,0.418,T1,721,682,200,24,365.1,16.0
44,16,全职,中级,算法工程师,杭州,20,31,0,37,1,1,教育,50,上市公司,5,1,0,0.251,126,0.101,3.2,4.16,3.47,0.486,4.54,0.391,0.418,T1,763,712,217,24,370.94,25.5
45,16,全职,中级,算法工程师,新加坡,15,27,0,12,2,1,教育,50,上市公司,5,1,0,0.251,126,0.101,3.2,4.16,3.47,0.486,4.54,0.391,0.418,T1,724,682,211,19,368.93,21.0
46,17,全职,初级,后端开发,北京,9,14,0,31,3,1,零售,1000,天使轮,1,1,1,0.263,99,0.18,4.66,3.75,4.66,0.396,1.93,0.139,0.542,T3,696,588,159,28,288.0,11.5
47,18,全职,高级,运营,上海,19,31,1,28,2,0,零售,1000,B轮,5,4,0,0.316,60,0.069,4.41,4.11,3.27,0.295,3.39,0.196,0.427,T1,735,700,205,9,383.37,25.0
48,19,全职,中级,数据分析,杭州,9,11,0,54,2,1,金融,500,B轮,1,4,0,0.292,144,0.201,4.23,2.56,3.23,0.71,6.35,0.337,0.398,T3,684,655,179,23,301.08,10.0
49,19,全职,高级,产品经理,上海,28,34,0,53,2,0,金融,500,B轮,1,4,0,0.292,144,0.201,4.23,2.56,3.23,0.71,6.35,0.337,0.398,T3,798,761,218,41,312.64,31.0
50,20,全职,初级,后端开发,杭州,18,24,0,56,2,1,教育,100,A轮,2,1,0,0.434,205,0.179,3.31,3.57,3.16,0.769,1.37,0.281,0.46,T3,614,505,130,17,322.54,21.0
51,20,全职,中级,数据分析,广州,37,41,1,10,1,1,教育,100,A轮,2,1,0,0.434,205,0.179,3.31,3.57,3.16,0.769,1.37,0.281,0.46,T3,719,665,182,28,343.37,39.0
52,20,全职,中级,产品经理,上海,21,29,1,57,1,0,教育,100,A轮,2,1,0,0.434,205,0.179,3.31,3.57,3.16,0.769,1.37,0.281,0.46,T3,781,747,220,31,355.11,25.0
53,21,全职,中级,后端开发,深圳,32,40,0,28,1,1,咨询,50,B轮,1,3,1,0.072,285,0.235,3.96,3.2,3.33,0.38,3.01,0.279,0.368,T3,788,745,219,50,230.84,36.0
54,21,全职,高级,后端开发,北京,33,38,0,19,1,1,咨询,50,B轮,1,3,1,0.072,285,0.235,3.96,3.2,3.33,0.38,3.01,0.279,0.368,T3,789,743,209,44,228.1,35.5
55,21,全职,中级,数据分析,杭州,23,37,0,19,3,1,咨询,50,B轮,1,3,1,0.072,285,0.235,3.96,3.2,3.33,0.38,3.01,0.279,0.368,T3,787,758,217,54,230.3,30.0
56,21,全职,中级,产品经理,深圳,9,19,0,44,2,0,咨询,50,B轮,1,3,1,0.072,285,0.235,3.96,3.2,3.33,0.38,3.01,0.279,0.368,T3,791,746,230,59,233.71,14.0
57,21,全职,初级,数据分析,北京,16,27,0,41,2,1,咨询,50,B轮,1,3,1,0.072,285,0.235,3.96,3.2,3.33,0.38,3.01,0.279,0.368,T3,717,687,193,50,225.0,21.5
58,22,全职,中级,后端开发,新加坡,13,15,0,8,3,1,互联网,500,上市公司,4,5,0,0.425,119,0.208,4.56,2.82,3.89,0.742,5.84,0.365,0.518,T1,740,706,222,49,391.68,14.0
59,22,全职,初级,产品经理,上海,10,15,0,40,1,0,互联网,500,上市公司,4,5,0,0.425,119,0.208,4.56,2.82,3.89,0.742,5.84,0.365,0.518,T1,737,706,223,51,391.99,12.5
60,23,全职,中级,数据分析,广州,39,49,0,25,3,1,教育,200,上市公司,3,5,1,0.43,218,0.187,3.61,2.75,4.27,0.47,6.8,0.392,0.355,T2,843,805,249,43,380.0,44.0
61,23,全职,高级,后端开发,北京,19,24,1,57,1,1,教育,200,上市公司,3,5,1,0.43,218,0.187,3.61,2.75,4.27,0.47,6.8,0.392,0.355,T2,847,807,238,29,378.33,21.5
62,24,全职,初级,前端开发,杭州,39,43,1,52,3,0,金融,500,未融资,2,4,0,0.178,65,0.222,3.62,4.01,4.16,0.555,3.45,0.498,0.558,T2,790,754,236,50,304.28,41.0
63,24,全职,高级,前端开发,广州,19,32,1,33,1,0,金融,500,未融资,2,4,0,0.178,65,0.222,3.62,4.01,4.16,0.555,3.45,0.498,0.558,T2,754,710,228,53,302.15,25.5
64,24,全职,高级,前端开发,北京,20,25,1,19,2,0,金融,500,未融资,2,4,0,0.178,65,0.222,3.62,4.01,4.16,0.555,3.45,0.498,0.558,T2,804,766,245,66,306.6,22.5
65,24,全职,中级,运营,杭州,20,31,0,25,1,0,金融,500,未融资,2,4,0,0.178,65,0.222,3.62,4.01,4.16,0.555,3.45,0.498,0.558,T2,712,669,199,45,293.73,25.5
66,24,全职,初级,产品经理,新加坡,33,36,0,28,1,0,金融,500,未融资,2,4,0,0.178,65,0.222,3.62,4.01,4.16,0.555,3.45,0.498,0.558,T2,803,769,227,39,301.88,34.5
67,25,全职,初级,算法工程师,杭州,21,23,1,36,2,1,零售,500,上市公司,1,5,0,0.258,117,0.086,3.01,3.81,4.52,0.799,3.8,0.27,0.498,T3,755,710,209,17,302.91,22.0
68,25,全职,中级,产品经理,北京,34,46,0,9,1,0,零售,500,上市公司,1,5,0,0.258,117,0.086,3.01,3.81,4.52,0.799,3.8,0.27,0.498,T3,785,739,216,16,304.84,40.0
69,26,全职,中级,前端开发,新加坡,23,25,1,49,1,0,咨询,100,上市公司,5,1,0,0.247,148,0.199,3.35,3.13,4.71,0.725,4.22,0.503,0.532,T1,747,706,228,50,373.34,24.0
70,26,全职,中级,后端开发,杭州,8,11,0,29,2,1,咨询,100,上市公司,5,1,0,0.247,148,0.199,3.35,3.13,4.71,0.725,4.22,0.503,0.532,T1,688,653,174,35,353.96,9.5
71,26,全职,初级,运营,杭州,20,31,1,44,2,0,咨询,100,上市公司,5,1,0,0.247,148,0.199,3.35,3.13,4.71,0.725,4.22,0.503,0.532,T1,778,739,237,45,376.11,25.5
72,26,全职,中级,算法工程师,新加坡,19,29,0,30,1,1,咨询,100,上市公司,5,1,0,0.247,148,0.199,3.35,3.13,4.71,0.725,4.22,0.503,0.532,T1,712,672,208,40,366.76,24.0
73,27,全职,中级,数据分析,北京,27,37,1,29,1,1,教育,200,A轮,2,1,0,0.148,97,0.093,4.75,3.68,4.54,0.764,6.56,0.269,0.611,T2,713,666,176,10,274.71,32.0
74,27,全职,初级,产品经理,新加坡,15,20,1,7,2,0,教育,200,A轮,2,1,0,0.148,97,0.093,4.75,3.68,4.54,0.764,6.56,0.269,0.611,T2,725,693,209,19,285.34,17.5
75,27,全职,中级,后端开发,上海,29,39,0,16,1,1,教育,200,A轮,2,1,0,0.148,97,0.093,4.75,3.68,4.54,0.764,6.56,0.269,0.611,T2,683,639,208,23,285.04,34.0
76,28,全职,初级,后端开发,北京,34,40,1,35,3,1,互联网,500,上市公司,2,4,0,0.229,233,0.281,3.88,3.73,2.55,0.296,6.08,0.128,0.239,T3,754,722,222,71,316.09,37.0
77,29,全职,高级,产品经理,新加坡,19,23,0,47,3,0,互联网,50,未融资,1,4,1,0.07,113,0.067,4.97,2.99,4.34,0.249,1.61,0.377,0.527,T3,832,796,233,19,232.82,21.0
78,29,全职,中级,数据分析,深圳,30,36,0,19,3,1,互联网,50,未融资,1,4,1,0.07,113,0.067,4.97,2.99,4.34,0.249,1.61,0.377,0.527,T3,869,832,245,14,235.76,33.0
79,29,全职,初级,后端开发,北京,13,16,1,15,1,1,互联网,50,未融资,1,4,1,0.07,113,0.067,4.97,2.99,4.34,0.249,1.61,0.377,0.527,T3,791,739,227,14,231.29,14.5
80,30,全职,中级,后端开发,杭州,11,15,1,16,2,1,制造业,50,天使轮,2,4,1,0.175,236,0.158,3.79,4.13,3.02,0.825,3.34,0.394,0.564,T2,781,752,210,35,296.01,13.0
81,30,全职,初级,算法工程师,杭州,19,22,1,54,1,1,制造业,50,天使轮,2,4,1,0.175,236,0.158,3.79,4.13,3.02,0.825,3.34,0.394,0.564,T2,812,772,232,51,302.17,20.5
82,30,全职,初级,前端开发,北京,19,31,1,56,2,0,制造业,50,天使轮,2,4,1,0.175,236,0.158,3.79,4.13,3.02,0.825,3.34,0.394,0.564,T2,751,726,205,35,294.52,25.0
83,30,全职,高级,算法工程师,广州,27,29,0,14,1,1,制造业,50,天使轮,2,4,1,0.175,236,0.158,3.79,4.13,3.02,0.825,3.34,0.394,0.564,T2,799,765,229,36,301.37,28.0
84,30,全职,初级,产品经理,北京,10,17,0,22,1,0,制造业,50,天使轮,2,4,1,0.175,236,0.158,3.79,4.13,3.02,0.825,3.34,0.394,0.564,T2,842,788,215,46,297.46,13.5
85,31,全职,中级,运营,上海,8,18,1,32,3,0,制造业,1000,A轮,5,3,1,0.418,139,0.224,4.43,4.45,2.83,0.471,3.52,0.567,0.59,T1,740,701,231,51,411.99,13.0
86,31,全职,中级,前端开发,深圳,36,45,0,33,2,0,制造业,1000,A轮,5,3,1,0.418,139,0.224,4.43,4.45,2.83,0.471,3.52,0.567,0.59,T1,819,781,222,40,409.14,40.5
87,32,全职,高级,算法工程师,上海,11,25,0,38,1,1,金融,200,天使轮,2,5,1,0.178,239,0.165,3.56,4.48,4.1,0.402,5.63,0.463,0.498,T3,708,669,201,27,294.35,18.0
88,32,全职,中级,算法工程师,杭州,24,38,0,25,1,1,金融,200,天使轮,2,5,1,0.178,239,0.165,3.56,4.48,4.1,0.402,5.63,0.463,0.498,T3,830,791,214,36,298.23,31.0
89,32,全职,高级,后端开发,北京,29,41,0,58,1,1,金融,200,天使轮,2,5,1,0.178,239,0.165,3.56,4.48,4.1,0.402,5.63,0.463,0.498,T3,826,781,227,30,301.88,35.0
90,33,全职,中级,前端开发,广州,38,52,0,44,3,0,教育,200,A轮,5,4,0,0.418,298,0.073,3.73,4.01,3.3,0.707,4.42,0.559,0.564,T1,757,716,193,13,399.1,45.0
91,34,全职,初级,运营,上海,21,28,0,37,3,0,教育,1000,C轮及以上,1,2,0,0.289,125,0.188,3.38,3.78,2.64,0.785,4.75,0.554,0.487,T3,688,605,159,29,293.53,24.5
92,35,全职,中级,算法工程师,杭州,17,23,1,56,3,1,零售,500,B轮,3,2,0,0.446,188,0.21,3.69,2.65,2.84,0.804,6.99,0.402,0.364,T2,723,688,198,39,368.71,20.0
93,35,全职,初级,产品经理,杭州,31,41,0,34,3,0,零售,500,B轮,3,2,0,0.446,188,0.21,3.69,2.65,2.84,0.804,6.99,0.402,0.364,T2,752,713,199,32,369.04,36.0
94,36,全职,中级,产品经理,上海,31,42,0,22,2,0,零售,200,C轮及以上,2,1,1,0.309,150,0.226,4.09,3.22,2.5,0.421,0.99,0.364,0.401,T3,760,718,218,57,333.51,36.5
95,36,全职,初级,算法工程师,深圳,37,40,0,32,2,1,零售,200,C轮及以上,2,1,1,0.309,150,0.226,4.09,3.22,2.5,0.421,0.99,0.364,0.401,T3,748,698,194,38,326.29,38.5
96,36,全职,高级,运营,上海,30,42,1,15,3,0,零售,200,C轮及以上,2,1,1,0.309,150,0.226,4.09,3.22,2.5,0.421,0.99,0.364,0.401,T3,788,746,228,54,336.29,36.0
97,36,全职,初级,算法工程师,深圳,33,35,0,37,2,1,零售,200,C轮及以上,2,1,1,0.309,150,0.226,4.09,3.22,2.5,0.421,0.99,0.364,0.401,T3,714,678,201,43,328.49,34.0
98,36,全职,高级,算法工程师,广州,22,36,0,38,3,1,零售,200,C轮及以上,2,1,1,0.309,150,0.226,4.09,3.22,2.5,0.421,0.99,0.364,0.401,T3,822,783,225,53,335.47,29.0
99,37,全职,高级,前端开发,上海,28,32,0,21,2,0,零售,50,上市公司,3,5,0,0.063,138,0.143,4.98,2.73,4.76,0.797,1.95,0.379,0.685,T2,779,745,211,29,250.0,30.0
100,38,全职,初级,算法工程师,广州,27,38,1,57,1,1,制造业,50,天使轮,5,4,0,0.354,67,0.191,4.33,4.91,2.56,0.229,3.15,0.589,0.544,T1,730,690,197,40,388.66,32.5
101,38,全职,初级,后端开发,广州,31,44,0,19,3,1,制造业,50,天使轮,5,4,0,0.354,67,0.191,4.33,4.91,2.56,0.229,3.15,0.589,0.544,T1,753,708,219,47,396.25,37.5
102,38,全职,高级,前端开发,深圳,26,37,0,32,1,0,制造业,50,天使轮,5,4,0,0.354,67,0.191,4.33,4.91,2.56,0.229,3.15,0.589,0.544,T1,790,750,228,56,399.14,31.5
103,38,全职,中级,前端开发,杭州,31,36,0,23,1,0,制造业,50,天使轮,5,4,0,0.354,67,0.191,4.33,4.91,2.56,0.229,3.15,0.589,0.544,T1,791,756,238,41,402.21,33.5
104,39,全职,初级,后端开发,北京,11,15,0,31,1,1,教育,100,上市公司,2,2,0,0.07,68,0.163,3.4,2.84,3.02,0.235,2.76,0.487,0.289,T3,752,717,221,33,242.49,13.0
105,39,全职,中级,运营,深圳,15,25,1,7,1,0,教育,100,上市公司,2,2,0,0.07,68,0.163,3.4,2.84,3.02,0.235,2.76,0.487,0.289,T3,738,708,191,24,237.5,20.0
106,39,全职,高级,后端开发,新加坡,11,15,0,44,2,1,教育,100,上市公司,2,2,0,0.07,68,0.163,3.4,2.84,3.02,0.235,2.76,0.487,0.289,T3,701,671,201,27,237.5,13.0
107,39,全职,高级,后端开发,上海,33,40,0,47,3,1,教育,100,上市公司,2,2,0,0.07,68,0.163,3.4,2.84,3.02,0.235,2.76,0.487,0.289,T3,730,691,199,25,237.5,36.5
108,39,全职,初级,运营,深圳,30,35,1,30,2,0,教育,100,上市公司,2,2,0,0.07,68,0.163,3.4,2.84,3.02,0.235,2.76,0.487,0.289,T3,718,686,203,28,237.5,32.5
109,40,全职,中级,产品经理,杭州,13,25,0,23,3,0,教育,200,B轮,4,5,0,0.253,264,0.218,3.09,2.88,3.54,0.636,0.64,0.153,0.34,T2,738,684,204,43,350.4,19.0
110,41,全职,高级,算法工程师,深圳,21,34,0,28,1,1,互联网,500,A轮,3,1,1,0.468,104,0.196,3.25,4.72,3.39,0.244,1.1,0.489,0.476,T2,751,709,195,35,370.86,27.5
111,41,全职,中级,算法工程师,广州,11,20,0,22,1,1,互联网,500,A轮,3,1,1,0.468,104,0.196,3.25,4.72,3.39,0.244,1.1,0.489,0.476,T2,832,784,228,42,380.0,15.5
112,41,全职,高级,产品经理,北京,35,47,0,9,2,0,互联网,500,A轮,3,1,1,0.468,104,0.196,3.25,4.72,3.39,0.244,1.1,0.489,0.476,T2,814,776,224,41,379.89,41.0
113,42,全职,高级,算法工程师,广州,9,17,0,30,3,1,制造业,1000,B轮,2,3,1,0.124,151,0.181,4.13,4.86,4.78,0.427,4.93,0.185,0.561,T2,741,703,214,35,275.86,13.0
114,42,全职,中级,产品经理,上海,37,39,1,35,1,0,制造业,1000,B轮,2,3,1,0.124,151,0.181,4.13,4.86,4.78,0.427,4.93,0.185,0.561,T2,820,788,209,45,274.39,38.0
115,43,全职,中级,后端开发,深圳,21,32,0,23,3,1,咨询,1000,未融资,3,5,0,0.225,167,0.112,4.53,4.41,2.6,0.671,6.22,0.324,0.526,T2,723,684,202,27,325.43,26.5
116,44,全职,初级,产品经理,深圳,16,23,1,12,1,0,制造业,500,B轮,2,5,1,0.378,259,0.051,4.88,2.51,3.78,0.436,3.84,0.205,0.413,T3,814,784,233,16,350.11,19.5
117,44,全职,高级,运营,深圳,29,32,0,53,2,0,制造业,500,B轮,2,5,1,0.378,259,0.051,4.88,2.51,3.78,0.436,3.84,0.205,0.413,T3,732,694,212,12,344.27,30.5
118,45,全职,中级,数据分析,上海,39,50,1,36,1,1,咨询,3000,未融资,1,3,0,0.447,203,0.094,3.03,2.5,4.2,0.326,4.0,0.445,0.29,T3,788,754,225,18,339.47,44.5
119,45,全职,初级,前端开发,北京,8,15,0,19,3,0,咨询,3000,未融资,1,3,0,0.447,203,0.094,3.03,2.5,4.2,0.326,4.0,0.445,0.29,T3,702,675,194,16,330.78,11.5
120,45,全职,初级,前端开发,广州,12,22,0,14,1,0,咨询,3000,未融资,1,3,0,0.447,203,0.094,3.03,2.5,4.2,0.326,4.0,0.445,0.29,T3,654,603,160,11,319.47,17.0
121,45,全职,初级,算法工程师,北京,31,33,0,38,2,1,咨询,3000,未融资,1,3,0,0.447,203,0.094,3.03,2.5,4.2,0.326,4.0,0.445,0.29,T3,726,693,192,14,330.17,32.0
122,45,全职,高级,数据分析,杭州,24,36,0,8,1,1,咨询,3000,未融资,1,3,0,0.447,203,0.094,3.03,2.5,4.2,0.326,4.0,0.445,0.29,T3,738,696,198,12,331.97,30.0
123,46,全职,中级,前端开发,北京,11,13,0,26,2,0,互联网,100,B轮,3,5,0,0.352,183,0.079,4.05,3.45,4.83,0.397,2.16,0.539,0.584,T2,715,683,197,20,352.96,12.0
124,47,全职,初级,后端开发,北京,25,28,0,48,3,1,金融,1000,未融资,4,1,0,0.166,53,0.162,3.94,2.86,4.05,0.52,5.49,0.245,0.374,T2,742,691,202,34,320.9,26.5
125,47,全职,高级,算法工程师,广州,30,39,1,22,2,1,金融,1000,未融资,4,1,0,0.166,53,0.162,3.94,2.86,4.05,0.52,5.49,0.245,0.374,T2,829,792,248,40,334.93,34.5
126,47,全职,初级,数据分析,北京,31,38,0,31,1,1,金融,1000,未融资,4,1,0,0.166,53,0.162,3.94,2.86,4.05,0.52,5.49,0.245,0.374,T2,745,710,203,31,321.24,34.5
127,48,全职,中级,后端开发,上海,17,29,0,37,1,1,教育,200,天使轮,4,1,0,0.354,157,0.203,4.31,2.55,4.51,0.533,5.39,0.141,0.388,T2,746,708,235,47,383.06,23.0
128,48,全职,初级,后端开发,新加坡,10,16,0,13,3,1,教育,200,天使轮,4,1,0,0.354,157,0.203,4.31,2.55,4.51,0.533,5.39,0.141,0.388,T2,766,719,213,40,376.34,13.0
129,48,全职,高级,前端开发,杭州,32,37,1,23,1,0,教育,200,天使轮,4,1,0,0.354,157,0.203,4.31,2.55,4.51,0.533,5.39,0.141,0.388,T2,734,693,204,44,373.38,34.5
130,49,全职,高级,运营,广州,16,22,1,57,3,0,互联网,100,上市公司,5,3,0,0.184,164,0.103,4.12,3.66,2.71,0.748,4.32,0.249,0.46,T1,740,707,235,21,354.4,19.0
